,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mcvopt_choices,mcvopt_acc,mc_choices,mc_acc
35,2296,0.9082110521386201,2832,0.9690914767405557,2974,0.9506712457071496,2628,0.9591008429597253
36,6392,0.9107087105838276,6417,0.9665938182953481,6391,0.9506712457071496,6417,0.9600374648766781
37,1471,0.9100842959725257,1542,0.9706525132688105,1583,0.9519200749297534,1458,0.9619107087105838
38,6088,0.9244458320324695,6311,0.9722135497970652,6133,0.9534811114580081,6058,0.9622229160162348
39,5308,0.9244458320324695,5240,0.9728379644083671,5345,0.9534811114580081,5221,0.9634717452388386
40,4980,0.9253824539494224,4881,0.973462379019669,5055,0.9534811114580081,4833,0.9653449890727444
41,2133,0.9241336247268186,1902,0.973462379019669,2250,0.953793318763659,1926,0.9659694036840462
42,6651,0.9238214174211676,6717,0.97377458632532,6858,0.9569153918201686,6693,0.9656571963783952
43,5589,0.9260068685607243,5615,0.973462379019669,5648,0.9572275991258196,5482,0.966906025600999
44,6012,0.9281923197002809,5874,0.973462379019669,5738,0.9559787699032157,5863,0.96721823290665
45,2686,0.9313143927567905,2340,0.973462379019669,2702,0.9559787699032157,2350,0.9681548548236029
46,6530,0.9300655635341867,6413,0.97377458632532,6387,0.9591008429597253,6353,0.967530440212301
47,1569,0.9300655635341867,1452,0.97377458632532,1505,0.96066187948798,1533,0.9690914767405557
48,6110,0.9313143927567905,6252,0.974086793630971,6033,0.9600374648766781,6067,0.9687792694349048
49,5353,0.9325632219793943,5367,0.9743990009366219,5407,0.9625351233218857,5407,0.9700280986575086
50,5121,0.9322510146737434,5121,0.9756478301592257,5013,0.9628473306275367,4870,0.9700280986575086
51,1802,0.9331876365906963,1598,0.9759600374648767,1697,0.9637839525444896,2190,0.9703403059631596
52,6712,0.9353730877302529,6833,0.9759600374648767,6632,0.9640961598501405,6687,0.9703403059631596
53,5497,0.9363097096472057,5502,0.9762722447705277,5662,0.9650327817670934,5600,0.9697158913518577
54,5853,0.9372463315641586,5948,0.9756478301592257,5939,0.9644083671557915,5990,0.9697158913518577
55,2464,0.9375585388698096,2547,0.9759600374648767,2804,0.9640961598501405,2334,0.9706525132688105
56,6484,0.9372463315641586,6454,0.9743990009366219,6449,0.9650327817670934,6523,0.9706525132688105
57,1378,0.9369341242585076,1414,0.9762722447705277,1441,0.9653449890727444,1464,0.9706525132688105
58,6163,0.9363097096472057,6205,0.9762722447705277,6314,0.9647205744614424,6091,0.9706525132688105
59,5343,0.9388073680924134,5331,0.9753356228535748,5424,0.9640961598501405,5315,0.9709647205744615
60,5044,0.9384951607867624,4914,0.9753356228535748,4910,0.9650327817670934,4829,0.9715891351857634
61,2201,0.9381829534811115,2215,0.9750234155479238,1893,0.9647205744614424,1769,0.9715891351857634
62,6783,0.9381829534811115,6815,0.9753356228535748,6860,0.9653449890727444,6642,0.9719013424914142
63,5636,0.9384951607867624,5527,0.9753356228535748,5600,0.9656571963783952,5639,0.9719013424914142
64,5787,0.9388073680924134,5984,0.9750234155479238,2292,0.9656571963783952,5872,0.9722135497970652
65,2773,0.9378707461754605,2617,0.9750234155479238,2591,0.9656571963783952,6726,0.9719013424914142
66,6415,0.9431782703715267,6579,0.9753356228535748,6364,0.9653449890727444,6511,0.9719013424914142
67,1448,0.9434904776771776,1539,0.9753356228535748,1444,0.9650327817670934,1539,0.9725257571027162
68,6308,0.9434904776771776,6247,0.9756478301592257,6036,0.9650327817670934,6096,0.9731501717140181
69,5291,0.9431782703715267,5215,0.9756478301592257,5366,0.9650327817670934,5381,0.9725257571027162
70,5083,0.9444270995941305,4859,0.9756478301592257,4945,0.9647205744614424,4947,0.9728379644083671
71,1729,0.9450515142054324,1894,0.9759600374648767,1735,0.9644083671557915,2094,0.9722135497970652
72,6636,0.9456759288167343,6776,0.9759600374648767,6668,0.9637839525444896,6638,0.9728379644083671
73,5666,0.9450515142054324,5521,0.9759600374648767,5504,0.9640961598501405,5584,0.9722135497970652
74,2030,0.947236965344989,5757,0.9756478301592257,5974,0.9644083671557915,5739,0.9725257571027162
75,2408,0.94754917265064,2431,0.9756478301592257,2694,0.9644083671557915,2313,0.9725257571027162
76,6570,0.9478613799562909,6439,0.9756478301592257,6480,0.9647205744614424,6612,0.9728379644083671
77,1497,0.9491102091788948,1406,0.9759600374648767,1414,0.9659694036840462,1418,0.9731501717140181
78,6090,0.9487980018732438,6101,0.9759600374648767,6194,0.9653449890727444,6073,0.9725257571027162
79,5348,0.9503590384014986,5368,0.9756478301592257,5131,0.9653449890727444,5168,0.9722135497970652
80,5123,0.9503590384014986,4860,0.9756478301592257,4988,0.9656571963783952,5055,0.9725257571027162
81,2249,0.9509834530128005,2148,0.9759600374648767,1759,0.9659694036840462,1933,0.9725257571027162
82,6786,0.9509834530128005,6649,0.9756478301592257,6722,0.967530440212301,6794,0.9722135497970652
