,random_choices,random_acc,uncertainty_choices,uncertainty_acc,mc_choices,mc_acc,mcvopt_choices,mcvopt_acc,vopt_choices,vopt_acc
22,1506,0.12457071495472995,21,0.16359662816109896,6712,0.11426787386824852,6501,0.13050265376209802,6501,0.1548548236028723
23,6175,0.16515766468935372,22,0.14486418982204183,1877,0.14236653137683422,1661,0.13300031220730565,1661,0.1495472994068061
24,5340,0.16765532313456136,23,0.16172338432719324,5763,0.1745238838588823,5089,0.17670933499843897,5089,0.1863877614736185
25,792,0.1267561660942866,24,0.1261317514829847,5348,0.15641586013112707,2015,0.1339369341242585,2015,0.14142990945988135
26,4440,0.1941929441148923,26,0.14798626287855135,846,0.1595379331876366,4791,0.17702154230408992,4791,0.12300967842647519
27,4447,0.16890415235716516,25,0.16172338432719324,686,0.15391820168591944,4104,0.18264127380580705,4104,0.17733374960974088
28,753,0.1554792382141742,27,0.1429909459881361,3060,0.11426787386824852,6466,0.16796753044021231,6466,0.13487355604121137
29,275,0.15891351857633468,28,0.14236653137683422,4466,0.18451451763971277,4032,0.1561036528254761,4032,0.14486418982204183
30,5291,0.18201685919450517,29,0.15329378707461755,294,0.17046518888541992,1477,0.16390883546674992,1477,0.1495472994068061
31,375,0.14861067748985327,30,0.16578207930065564,3342,0.11863877614736185,5888,0.14798626287855135,5888,0.1607867624102404
32,1558,0.16890415235716516,31,0.14267873868248518,6534,0.14205432407118326,4216,0.14361536059943802,4216,0.14111770215423042
33,6554,0.1464252263502966,32,0.16047455510458944,3972,0.14923509210115515,1139,0.16172338432719324,1139,0.14330315329378707
34,3875,0.15235716515766468,33,0.15454261629722135,5218,0.1398688729316266,4153,0.1751482984701842,4153,0.21511083359350608
35,5925,0.15391820168591944,34,0.13456134873556042,6686,0.16515766468935372,3765,0.14361536059943802,3765,0.189509834530128
36,2493,0.1851389322510147,35,0.15048392132375898,6501,0.17483609116453325,0,0.14736184826724946,0,0.12051201998126757
37,3977,0.1470496409615985,36,0.1301904464564471,4245,0.17920699344364657,2138,0.1379956290977209,2138,0.16796753044021231
38,4374,0.1810802372775523,37,0.15860131127068372,4907,0.15672806743677803,2002,0.15048392132375898,2002,0.19512956603184514
39,1835,0.18326568841710897,38,0.12519512956603185,3856,0.15048392132375898,918,0.17233843271932564,918,0.22166718701217608
40,1753,0.16952856696846708,39,0.1738994692475804,3136,0.15860131127068372,1509,0.12831720262254137,1509,0.1495472994068061
41,1541,0.16765532313456136,40,0.15329378707461755,1305,0.1464252263502966,1899,0.16952856696846708,1899,0.18982204183577897
